size,seed,urea,phosphate,pesticide,pseed,purea,pphosph,hiredlabor,famlabor,totlabor,wage,goutput,noutput,price
3,90,900,80,6000,80,75,75,2875,40,2915,68.49,7980,6800,60
2,40,600,0,3000,70,75,75,2110,45,2155,60.09,4083,3500,60
1,100,700,150,5000,140,70,70,980,95,1075,51.99,2650,2242,65
2,60,600,100,5000,90,70,70,2081,10,2091,56.98,4500,3750,70
3.572,105,400,400,10200,350,80,80,3889,1,3889,152.03,16300,13584,120
3.572,105,400,400,10200,250,80,80,3519,1,3519,154.49,17424,14520,140
1.42,50,120,0,0,60,75,75,670,140,810,54.83,3840,3200,60
1.42,20,100,0,0,50,75,75,805,50,855,45.43,2800,2400,50
0.428,15,150,50,900,130,70,70,380,80,460,51.97,950,800,62
0.214,7,50,0,0,150,70,70,40,69,109,53.75,240,200,60
0.428,15,100,50,2000,300,82,82,210,20,230,137.62,1500,1250,110
0.428,15,100,50,2000,300,85,85,180,1,180,140.56,2280,2000,130
0.1,5,20,0,0,50,80,80,10,108,118,56.67,280,240,65
0.286,10,75,0,0,50,70,70,100,63,163,38,940,850,50
0.07,10,15,0,0,70,75,75,23,57,80,47.83,240,200,60
0.307,7,60,10,350,150,70,70,72,206,278,53.47,848,705,60
0.086,5,50,25,2000,250,82,84,15,61,76,158,480,400,120
0.086,5,40,10,500,350,82,84,15,39,54,121.67,420,350,130
0.286,10,50,0,0,60,75,75,32,233,265,47.06,1200,1000,60
0.286,10,50,0,0,60,60,60,32,231,263,52.17,960,850,65
0.284,10,100,0,0,80,70,70,65,65,130,53.15,360,300,60
0.357,10,100,0,450,150,70,70,1,350,350,52.5,720,600,65
0.357,10,100,50,1500,150,80,90,1,178,178,147.64,1480,1200,100
0.357,10,100,90,0,100,85,85,1,92,92,145.45,1880,1600,130
0.286,5,25,0,0,60,80,80,73,133,206,49.33,1240,1000,70
0.17,5,25,0,0,60,70,70,115,78,193,47.83,780,720,75
0.56,25,150,0,0,70,75,75,485,65,550,52.7,1200,1000,60
0.286,5,50,0,0,100,80,80,75,55,130,54,750,600,60
0.357,20,150,100,4800,200,80,80,36,140,176,102.78,3000,2500,110
0.357,12,150,100,4150,300,82,84,35,85,120,125.71,2400,2000,140
0.18,5,100,0,0,60,75,75,30,126,156,46.88,887,760,50
0.36,10,75,0,0,50,75,75,50,212,262,56,1553,1380,60
0.355,20,40,0,0,80,70,70,148,304,452,51.01,716,596,60
0.14,10,40,0,0,80,70,70,56,110,166,60.71,480,400,60
0.052,4,30,0,1200,350,80,80,4,94,98,158.75,300,300,110
0.052,4,30,0,1200,350,100,100,1,46,46,135.45,200,200,120
0.27,10,75,25,300,70,80,80,100,284,384,47.06,1080,900,60
0.27,10,60,10,300,70,80,80,50,204,254,56,1260,1180,70
0.28,20,100,20,650,80,74,74,302,81,383,51.32,1200,1000,65
0.286,10,60,10,1920,80,70,70,295,85,380,52.37,600,500,60
0.179,10,125,50,1600,250,80,80,115,177,292,166.96,960,800,100
0.129,7,100,25,900,250,82,82,90,113,203,147.78,1200,1000,130
0.714,20,50,0,0,70,80,80,225,182,407,41.41,2100,1800,60
0.714,30,80,0,0,55,75,75,390,190,580,48.46,1867,1600,55
0.355,15,75,0,0,80,60,60,30,209,239,43.33,1200,1000,60
0.571,15,100,0,0,100,80,80,100,116,216,52.5,1200,1000,60
0.086,7,25,10,0,250,80,80,20,88,108,135,480,400,100
0.082,10,5,1,0,350,82,85,20,56,76,135.45,280,250,120
0.18,7,40,0,0,60,70,70,101,35,136,44.08,600,500,60
0.888,35,70,0,0,50,75,75,510,55,565,52.16,3000,2500,60
0.377,12,150,0,0,70,70,70,160,207,367,58.75,840,710,65
0.371,25,100,10,500,100,75,75,110,60,170,61.82,660,550,60
0.681,10,100,50,2000,150,80,80,110,103,213,131.82,2700,2450,140
0.281,10,100,50,0,150,80,80,50,98,148,140,1925,1650,150
0.071,5,35,0,0,60,80,80,50,60,110,57.69,250,225,60
0.071,5,35,0,0,60,80,80,50,80,130,50,220,200,70
0.142,6,65,0,0,70,70,70,144,5,149,50.76,480,400,60
0.143,10,30,0,0,80,70,70,70,86,156,55.71,360,300,60
0.129,5,50,25,2325,350,85,90,8,91,99,153.13,600,520,100
0.129,5,50,25,2325,350,85,90,8,78,86,165.63,600,484,120
0.357,10,100,50,0,80,80,80,310,89,399,52.88,940,800,60
0.357,10,100,50,0,100,80,80,230,199,429,52.17,920,840,65
0.355,10,100,0,0,75,60,60,229,44,273,54.15,550,470,75
0.357,15,90,0,0,90,75,75,62,58,120,68.39,540,500,60
0.157,5,50,50,1000,300,80,80,1,135,135,147.64,725,600,120
0.157,5,50,25,0,300,85,85,1,109,109,125.45,800,720,130
0.714,30,150,50,0,70,75,75,510,20,530,42.19,1600,1400,60
0.714,30,150,50,0,70,80,80,610,40,650,44.59,1800,1600,60
0.286,15,100,20,0,70,70,70,260,10,270,52.69,840,700,60
0.357,15,75,25,650,90,70,70,208,20,228,59.66,600,500,60
0.357,10,150,50,4000,250,82,82,235,30,265,149.68,1800,1500,120
0.357,10,150,50,5000,250,84,84,200,15,215,152.75,1600,1400,140
0.714,20,100,0,0,70,80,80,425,58,483,46.3,1500,1300,60
0.714,20,100,0,0,70,80,80,385,53,438,37.66,1600,1400,60
0.355,25,25,5,0,80,80,80,430,20,450,50.7,840,700,60
0.536,20,200,0,0,150,70,70,380,91,471,54.21,800,750,60
0.643,16,150,50,0,268.75,80,80,300,180,480,153.5,3000,2500,120
0.643,16,150,50,0,225,82,85,331,44,375,156.59,2800,2400,110
0.357,20,50,10,0,60,78,78,305,75,380,53.42,960,800,60
0.357,20,100,50,0,60,80,80,280,65,345,43.57,1800,1500,60
0.357,15,100,50,1200,150,75,75,305,35,340,51.31,960,800,60
0.5,13,100,50,2000,60,70,70,270,43,313,53.89,1400,1120,60
1.428,60,350,150,12600,150,80,80,1054,131,1185,148.1,5800,4850,120
1.428,60,350,150,12600,150,80,85,659,103,762,148.85,4600,3900,140
1.071,50,250,50,1500,60,75,75,1055,55,1110,59.98,3600,3000,60
1.071,50,250,50,1500,60,78,78,1240,65,1305,39.52,3240,2700,65
0.179,5,50,20,0,90,80,75,44,54,98,46.02,360,300,60
0.09,4,10,0,0,80,70,70,20,66,86,50,300,240,65
0.029,2,10,15,0,175,80,90,1,132,132,147.64,300,300,100
0.029,5,10,15,0,350,85,85,1,80,80,125.45,200,200,110
1.286,40,100,0,0,90,70,70,499,136,635,44.93,1800,1500,60
1.286,40,150,0,0,90,75,75,331,117,448,44.38,2800,2500,60
0.533,30,125,50,0,100,70,70,290,55,345,54.9,1200,1000,60
0.355,15,125,25,600,90,70,70,150,82,232,50,560,500,60
0.571,50,150,50,4800,375,80,80,60,384,444,155,2400,2000,120
0.571,30,150,50,4000,350,86,90,44,178,222,142.05,2400,2000,120
0.357,15,15,0,0,70,80,80,225,107,332,47.27,900,800,70
0.714,15,25,0,0,70,80,80,250,127,377,56,1800,1550,70
1.065,30,250,0,0,80,70,70,525,380,905,52.86,1500,1260,60
1.071,40,300,0,0,60,66,66,250,52,302,56,3600,3000,75
0.535,15,150,50,3000,300,80,80,306,112,418,150.78,2160,1860,120
0.535,15,150,50,3000,300,85,85,216,234,450,145.93,2300,2000,120
0.357,15,75,0,0,80,80,80,260,57,317,46.95,940,820,65
0.357,15,75,0,0,80,80,80,130,55,185,49.23,920,800,65
0.357,20,20,0,0,80,75,75,235,90,325,51.7,560,470,60
0.357,20,50,0,0,70,70,70,150,10,160,50.67,400,320,60
0.357,14,70,50,1600,300,80,80,265,119,384,135.28,2600,2200,110
0.357,14,100,50,1600,300,82,84,185,1,185,134.86,720,600,120
3.57,100,1250,250,0,70,70,70,3270,140,3410,49.32,11667,10000,60
3.57,1250,1250,250,0,60,70,70,1620,140,1760,52.22,11667,10000,70
5,100,1000,0,0,80,70,70,2650,125,2775,52.08,12000,10000,65
3.571,125,700,300,9000,60,65,70,1550,1,1550,44.35,5000,4500,60
0.714,25,200,100,3000,150,84,84,548,45,593,148.83,4200,3500,110
0.714,25,200,100,3000,150,84,84,448,47,495,142.32,4200,3500,150
0.56,20,75,25,0,100,80,80,193,73,266,40.51,1800,1500,55
0.56,20,50,0,0,100,80,80,70,84,154,57.14,1600,1400,55
0.357,20,75,25,0,55,70,70,80,376,456,31.25,750,630,60
1,30,200,0,0,80,70,70,400,56,456,47.5,2000,1600,60
0.714,50,100,100,1200,300,80,80,290,120,410,133.1,3660,3050,100
0.714,50,100,100,1200,300,82,83,118,124,242,119.32,2400,2000,120
0.577,40,150,25,0,100,80,80,350,193,543,36.08,2220,1850,60
0.577,30,1,0,0,87,80,80,68,173,241,37.41,1752,1500,55
0.5,25,125,25,2100,55,70,70,276,48,324,37.59,870,730,55
0.5,15,150,50,650,100,70,70,100,286,386,55,975,812,60
0.5,30,100,100,2000,325,80,80,240,190,430,125.42,4320,3600,115
0.5,30,50,50,0,300,85,85,88,224,312,121.08,1880,1600,100
0.5,30,75,25,0,100,76,76,232,83,315,42.74,2700,2250,55
0.5,15,50,0,0,100,80,80,127,440,567,40,1800,1500,55
0.357,15,100,25,0,55,70,70,160,40,200,37.5,460,390,55
0.5,25,50,0,0,80,65,65,240,29,269,51.25,1800,1500,60
0.714,60,475,50,3000,300,82,85,480,40,520,143.75,3600,3000,120
0.357,30,200,25,1500,300,85,85,172,24,196,145.49,1400,1200,150
0.21,8,100,25,500,100,80,80,26,165,191,42.86,840,700,55
0.21,8,20,0,0,100,80,80,30,175,205,40,480,400,55
0.214,10,15,0,0,55,70,70,20,96,116,31.25,180,150,55
0.286,6,1,0,0,70,70,70,54,277,331,53.7,350,335,60
0.357,20,75,0,1000,170,83,84,115,113,228,145.43,1800,1500,110
0.357,15,50,0,0,140,83,83,120,70,190,136.25,1300,1100,140
5.322,310,450,75,75,80,78,78,4536,238,4774,48.44,14400,12000,65
2.898,160,300,50,500,80,75,75,1878,134,2012,39.15,6010,5000,60
2.923,174,750,150,2400,80,70,70,2198,584,2782,40.56,4620,3880,60
2.13,100,150,0,0,70,65,65,2211,195,2406,50.17,7920,6600,70
1.286,95,600,200,2000,150,80,80,370,730,1100,131.08,6840,5700,100
0.357,15,20,5,0,200,85,85,1,182,182,130,1250,1050,150
1.82,115,480,95,0,80,78,78,1363,120,1483,43.22,7000,5900,50
1.47,45,190,35,0,80,80,80,569,92,661,38.33,2160,1800,50
2.1,40,225,25,1500,55,70,70,2520,48,2568,35.42,3480,2900,65
1.429,50,150,50,0,80,65,65,560,43,603,56.61,3000,2500,60
3.929,138,800,700,7500,200,80,80,2858,592,3450,145.23,20960,17610,120
1.786,63,250,0,0,120,83,83,840,256,1096,145.23,6000,5000,150
0.06,5,40,10,0,100,80,80,6,84,90,44.44,350,310,55
0.06,8,25,0,0,50,70,70,15,118,133,42.86,190,170,60
0.07,2,25,0,0,80,70,70,1,135,135,46.73,300,300,70
0.071,3,20,2,1000,75,70,70,16,66,82,50,240,200,60
2.493,95,550,300,10500,250,80,80,900,728,1628,154.91,10800,9000,120
1.714,65,375,125,7200,250,82,82,288,476,764,143.75,5760,4800,150
